species,genus,family,species.relative,genus.relative
Epiprinus siletianus,,,,
Hancea hookeriana,,,,
Mallotus philippensis,,,,
Claoxylon indicum,,,,
Cercis glabra,,,,
Maackia amurensis,,,,
Ormosia fordiana,,,,
Ormosia semicastrata,,,,
Ormosia balansae,,,,
Ormosia pinnata,,,,
Alfaroa williamsii,,,,
Carya alba,,,,
Carya cathayensis,,,,
Carya cordiformis,,,,
Carya floridana,,,,
Carya glabra
Carya hunanensis
Carya illinoinensis
Carya kweichowensis
Carya laciniosa
Carya myristiciformis
Carya ovata
Carya sinensis
Carya tonkinensis
Cyclocarya paliurus
Engelhardtia roxburghiana
Engelhardtia spicata
Juglans mandshurica
Oreomunnea mexicana
Pterocarya hupehensis
Rhoiptelea chiliantha
Platycarya strobilacea,,,,Cyclocarya
Carya pallida,,,Carya floridana,
Carya palmeri,,,,
Hicoria texana,,,,
Pterospermum heterophyllum,,,,
Reevesia thyrsoidea,,,,
Tilia amurensis,,,,
Tilia miqueliana,,,,
Tilia tuan,,,,
Reevesia tomentosa,,,,
Tilia mandshurica,,,,
Tilia mongolica,,,,
Aglaia dasyclada,,,,
Dysoxylum gotadhora,,,,
Decaspermum montanum,,,,
Fraxinus chinensis,,,,
Ligustrum compactum
Ligustrum sinense
Syringa reticulata
Fraxinus mandshurica
Diplospora dubia
Lasianthus chinensis
Lasianthus lancifolius
Psydrax dicoccos
Sinoadina racemosa
Gardenia hainanensis
Prismatomeris tetrandra
Meliosma cuneifolia
Meliosma rigida
Meliosma laui
Casearia velutina
Idesia polycarpa
Populus tremula
Casearia membranacea
Scolopia buxifolia
Acer barbinerve
Acer henryi
Acer laevigatum
Acer mandshuricum
Acer maximowiczianum
Acer oliverianum
Acer pseudosieboldianum
Acer tutcheri
Aesculus turbinata
Dipteronia sinensis
Eurycorymbus cavaleriei
Acer amplum
Acer cordatum
Nephelium topengii
Pyrenaria jonquieriana
Schima argentea
Schima superba
Stewartia crassifolia
Stewartia sinensis
Schima parviflora
Ulmus davidiana
Ulmus macrocarpa
Zelkova schneideriana
Zelkova serrata
Ulmus changii
Ulmus laciniata
